Date,Open,High,Low,Close,Adj Close,Volume
2018-08-14,77499.000000,78742.000000,77499.000000,78602.000000,78602.000000,3713000
2018-08-15,78614.000000,78618.000000,76829.000000,77078.000000,77078.000000,4386400
2018-08-16,77085.000000,77704.000000,76381.000000,76819.000000,76819.000000,3285400
2018-08-17,76817.000000,76817.000000,75633.000000,76029.000000,76029.000000,3742300
2018-08-20,76029.000000,76497.000000,75608.000000,76328.000000,76328.000000,3578100
2018-08-21,76327.000000,76340.000000,74915.000000,75180.000000,75180.000000,4077000
2018-08-22,75171.000000,76904.000000,74876.000000,76902.000000,76902.000000,3610400
2018-08-23,76898.000000,77232.000000,75466.000000,75634.000000,75634.000000,3866700
2018-08-24,75647.000000,76629.000000,75647.000000,76262.000000,76262.000000,3159900
2018-08-27,76264.000000,78008.000000,76264.000000,77930.000000,77930.000000,2750600
2018-08-28,77928.000000,78038.000000,77149.000000,77473.000000,77473.000000,2964800
2018-08-29,77472.000000,78783.000000,77399.000000,78389.000000,78389.000000,3127600
2018-08-30,78389.000000,78389.000000,76372.000000,76404.000000,76404.000000,3546800
2018-08-31,76386.000000,77202.000000,76026.000000,76678.000000,76678.000000,4145600
2018-09-03,76675.000000,76675.000000,75729.000000,76193.000000,76193.000000,1673300
2018-09-04,76192.000000,76192.000000,74605.000000,74712.000000,74712.000000,3162300
2018-09-05,74712.000000,75370.000000,74276.000000,75092.000000,75092.000000,2830400
2018-09-06,75098.000000,76533.000000,74986.000000,76416.000000,76416.000000,3298500
2018-09-10,76416.000000,77293.000000,76115.000000,76436.000000,76436.000000,3105200
2018-09-11,76437.000000,76437.000000,74275.000000,74657.000000,74657.000000,0
2018-09-12,74680.000000,75680.000000,74499.000000,75125.000000,75125.000000,3709100
2018-09-13,75126.000000,75407.000000,74501.000000,74687.000000,74687.000000,3062100
2018-09-14,74687.000000,75705.000000,74445.000000,75429.000000,75429.000000,3231700
2018-09-17,75428.000000,76893.000000,75227.000000,76789.000000,76789.000000,3397600
2018-09-18,76781.000000,78454.000000,76677.000000,78314.000000,78314.000000,4167000
2018-09-19,78268.000000,79021.000000,77624.000000,78169.000000,78169.000000,3780800
2018-09-20,78169.000000,78944.000000,77820.000000,78116.000000,78116.000000,3137600
2018-09-21,78116.000000,80002.000000,78116.000000,79444.000000,79444.000000,4666800
2018-09-24,79447.000000,79447.000000,77857.000000,77984.000000,77984.000000,0
2018-09-25,77980.000000,78688.000000,77005.000000,78630.000000,78630.000000,3700400
2018-09-26,78634.000000,79461.000000,78530.000000,78656.000000,78656.000000,3735300
2018-09-27,78676.000000,80107.000000,78676.000000,80000.000000,80000.000000,4475000
2018-09-28,80000.000000,80000.000000,78967.000000,79342.000000,79342.000000,4061400
2018-10-01,79350.000000,79557.000000,78091.000000,78624.000000,78624.000000,3134400
2018-10-02,78625.000000,81778.000000,78625.000000,81612.000000,81612.000000,5929900
2018-10-03,81624.000000,85442.000000,81623.000000,83273.000000,83273.000000,7618600
2018-10-04,83275.000000,83430.000000,81892.000000,82953.000000,82953.000000,4935600
2018-10-05,82972.000000,83805.000000,82030.000000,82322.000000,82322.000000,5394800
2018-10-08,82324.000000,87333.000000,82324.000000,86084.000000,86084.000000,9999000
2018-10-09,86053.000000,86573.000000,85433.000000,86088.000000,86088.000000,6461000
2018-10-10,86084.000000,86085.000000,83679.000000,83679.000000,83679.000000,0
2018-10-11,83700.000000,84749.000000,82607.000000,82921.000000,82921.000000,5188700
2018-10-15,82922.000000,84278.000000,82922.000000,83360.000000,83360.000000,4782900
2018-10-16,83420.000000,85718.000000,83420.000000,85718.000000,85718.000000,4811300
2018-10-17,85714.000000,86167.000000,84944.000000,85764.000000,85764.000000,4858600
2018-10-18,85760.000000,85760.000000,83846.000000,83847.000000,83847.000000,4085300
2018-10-19,83845.000000,84954.000000,83667.000000,84220.000000,84220.000000,3753500
2018-10-22,84222.000000,85772.000000,84222.000000,85597.000000,85597.000000,3873700
2018-10-23,85595.000000,85595.000000,84032.000000,85300.000000,85300.000000,4388100
2018-10-24,85302.000000,85786.000000,83035.000000,83064.000000,83064.000000,4679200
2018-10-25,83124.000000,84831.000000,83124.000000,84084.000000,84084.000000,0
2018-10-26,84084.000000,85720.000000,83497.000000,85720.000000,85720.000000,6471500
2018-10-29,85728.000000,88377.000000,82783.000000,83797.000000,83797.000000,7733900
2018-10-30,83802.000000,86990.000000,83802.000000,86886.000000,86886.000000,6556900
2018-10-31,86889.000000,88028.000000,86213.000000,87424.000000,87424.000000,5889800
2018-11-01,87428.000000,89017.000000,87094.000000,88419.000000,88419.000000,5878400
2018-11-05,88418.000000,89598.000000,88347.000000,89598.000000,89598.000000,4620800
2018-11-06,89587.000000,89587.000000,88066.000000,88669.000000,88669.000000,0
2018-11-07,88676.000000,89565.000000,87541.000000,87714.000000,87714.000000,4371300
2018-11-08,87719.000000,88570.000000,85620.000000,85620.000000,85620.000000,5297700
2018-11-09,85620.000000,86233.000000,84030.000000,85641.000000,85641.000000,4814400
2018-11-12,85644.000000,86227.000000,85009.000000,85525.000000,85525.000000,3534000
2018-11-13,85531.000000,85941.000000,84071.000000,84914.000000,84914.000000,4410700
2018-11-14,84898.000000,85973.000000,84267.000000,85973.000000,85973.000000,5591600
2018-11-16,85975.000000,88516.000000,85975.000000,88515.000000,88515.000000,5184200
2018-11-19,88472.000000,88484.000000,87047.000000,87901.000000,87901.000000,3642100
2018-11-21,87896.000000,87896.000000,86254.000000,87269.000000,87269.000000,4140600
2018-11-22,87269.000000,87656.000000,87222.000000,87477.000000,87477.000000,2244500
2018-11-23,87479.000000,87479.000000,85763.000000,86230.000000,86230.000000,4148700
2018-11-26,86237.000000,87147.000000,84905.000000,85547.000000,85547.000000,4557300
2018-11-27,85547.000000,88018.000000,85377.000000,87891.000000,87891.000000,4971300
2018-11-28,87891.000000,89483.000000,87153.000000,89251.000000,89251.000000,5295600
2018-11-29,89145.000000,89910.000000,88475.000000,89710.000000,89710.000000,4257400
2018-11-30,89709.000000,90246.000000,89258.000000,89504.000000,89504.000000,6736700
2018-12-03,89511.000000,91242.000000,89429.000000,89820.000000,89820.000000,5935600
2018-12-04,89820.000000,90452.000000,88041.000000,88624.000000,88624.000000,4879700
2018-12-05,88644.000000,89111.000000,88449.000000,89040.000000,89040.000000,2790000
2018-12-06,88933.000000,88933.000000,87025.000000,88846.000000,88846.000000,4370100
2018-12-07,88849.000000,89986.000000,87907.000000,88115.000000,88115.000000,4479100
2018-12-10,88115.000000,88384.000000,85915.000000,85915.000000,85915.000000,4084400
2018-12-11,85918.000000,87520.000000,85583.000000,86420.000000,86420.000000,4390100
2018-12-12,86420.000000,87946.000000,86420.000000,86977.000000,86977.000000,5000500
2018-12-13,86979.000000,87842.000000,86856.000000,87838.000000,87838.000000,3658600
2018-12-14,87838.000000,88184.000000,87106.000000,87450.000000,87450.000000,3553300
2018-12-17,87448.000000,87820.000000,86328.000000,86400.000000,86400.000000,3849300
2018-12-18,86400.000000,87274.000000,86400.000000,86610.000000,86610.000000,4093500
2018-12-19,86617.000000,88101.000000,85674.000000,85674.000000,85674.000000,5664200
2018-12-20,85678.000000,86584.000000,84756.000000,85269.000000,85269.000000,6100500
2018-12-21,85269.000000,86554.000000,85134.000000,85697.000000,85697.000000,6076200
2018-12-26,85684.000000,85684.000000,83892.000000,85136.000000,85136.000000,3355100
2018-12-27,85141.000000,85739.000000,84876.000000,85460.000000,85460.000000,3820900
2018-12-28,85469.000000,88044.000000,85469.000000,87887.000000,87887.000000,3649100
2019-01-02,87887.000000,91479.000000,87536.000000,91012.000000,91012.000000,5615400
2019-01-03,91011.000000,91596.000000,89922.000000,91564.000000,91564.000000,6066200
2019-01-04,91577.000000,92701.000000,90824.000000,91841.000000,91841.000000,5322100
2019-01-07,91845.000000,92552.000000,91288.000000,91699.000000,91699.000000,4565000
2019-01-08,91699.000000,92231.000000,91064.000000,92032.000000,92032.000000,4496500
2019-01-09,92033.000000,93626.000000,92028.000000,93613.000000,93613.000000,5011400
